bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,5192,12514,takeLoan(500),-480.00,0.00,-480.00,1
Бот 1,1,2,5192,12514,buildFactory(coal-mine),-480.00,0.00,-480.00,1
Бот 1,2,1,3612,12963,"setWorkerCount(01M0CY5CDVC0VJ78CXG8VFPD1W, 1)",10.00,500.00,-490.00,1
Бот 1,3,1,3877,13065,"sellToSystem(coking-coal, 1209)",0.00,582.43,-582.43,1
Бот 1,4,1,8568,13164,buildFactory(coking-plant),404.76,579.52,-174.76,2
Бот 1,5,1,4547,13438,"sellToSystem(coking-coal, 2418)",240.90,576.62,-335.72,2
Бот 1,6,1,4271,13662,"setWorkerCount(01M0CY5W4YDW3VEF3RMVG07PYA, 1)",2857.92,573.74,2284.19,2
Бот 1,7,1,7450,13841,"sellToSystem(coke, 620)",2627.03,570.87,2056.16,2
Бот 1,7,2,7450,13841,"sellToSystem(coking-coal, 279)",2627.03,570.87,2056.16,2
Бот 1,8,1,7033,13975,"sellToSystem(coke, 500)",4551.22,568.01,3983.21,2
Бот 1,8,2,7033,13975,"sellToSystem(coking-coal, 1000)",4551.22,568.01,3983.21,2
Бот 1,9,1,8074,14082,"sellToSystem(coke, 740)",6980.79,565.17,6415.62,2
Бот 1,9,2,8074,14082,"sellToSystem(coking-coal, 767)",6980.79,565.17,6415.62,2
Бот 1,10,1,6404,14213,"sellToSystem(coke, 620)",9911.38,562.35,9349.03,2
Бот 1,10,2,6404,14213,"sellToSystem(coking-coal, 262)",9911.38,562.35,9349.03,2
Бот 1,11,1,5530,14416,nop,11938.99,559.54,11379.46,2
Бот 1,12,1,5836,14357,"sellToSystem(coke, 1240.0)",11786.15,556.74,11229.41,2
Бот 1,12,2,5836,14357,"sellToSystem(coking-coal, 454.1)",11786.15,556.74,11229.41,2
Бот 1,13,1,4092,14405,nop,17501.38,553.96,16947.42,2
Бот 1,14,1,5319,14352,nop,17339.24,551.19,16788.05,2
Бот 1,15,1,5338,14292,nop,17093.09,548.43,16544.66,2
Бот 1,16,1,7265,14327,"sellToSystem(coke, 2368.4)",16767.19,545.69,16221.50,2
Бот 1,16,2,7265,14327,"sellToSystem(coking-coal, 659.56)",16767.19,545.69,16221.50,2
Бот 1,17,1,5786,14365,"sellToSystem(coke, 551.8)",30477.56,542.96,29934.60,2
Бот 1,17,2,5786,14365,"sellToSystem(coking-coal, 110.48)",30477.56,542.96,29934.60,2
Бот 1,18,1,5423,14380,"sellToSystem(coke, 530.72)",34415.45,540.24,33875.21,2
Бот 1,18,2,5423,14380,"sellToSystem(coking-coal, 86.49)",34415.45,540.24,33875.21,2
Бот 1,19,1,5492,14394,"sellToSystem(coke, 507.16)",38414.17,537.54,37876.62,2
