bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,14026,15284,takeLoan(2000),-850.00,0.00,-850.00,2
Бот 1,1,2,14026,15284,buildFactory(scrap-yard),-850.00,0.00,-850.00,2
Бот 1,1,3,14026,15284,buildFactory(iron-mine),-850.00,0.00,-850.00,2
Бот 1,2,1,24367,16067,"setWorkerCount(01M0DNDGM8MPDG28ETF21AC1T6, 5)",1134.00,2000.00,-866.00,2
Бот 1,2,2,24367,16067,"setWorkerCount(01M0DNDGMA71S0Z9YTVSQCMSB0, 5)",1134.00,2000.00,-866.00,2
Бот 1,3,1,27872,16279,"sellToSystem(iron-ore, 4000)",331.60,1990.00,-1658.40,2
Бот 1,3,2,27872,16279,"sellToSystem(scrap-metal, 1950)",331.60,1990.00,-1658.40,2
Бот 1,4,1,32541,16352,"sellToSystem(iron-ore, 4000)",3517.42,1980.05,1537.37,3
Бот 1,4,2,32541,16352,"sellToSystem(scrap-metal, 1950)",3517.42,1980.05,1537.37,3
Бот 1,4,3,32541,16352,"buildFactory(mini-mill, recipe=wire-rod-from-scrap)",3517.42,1980.05,1537.37,3
Бот 1,5,1,33560,16699,"setWorkerCount(01M0DNG3F8WC0SQSQPBTD8CD9E, 5)",7354.46,1970.15,5384.31,3
Бот 1,5,2,33560,16699,"sellToSystem(iron-ore, 4000)",7354.46,1970.15,5384.31,3
Бот 1,5,3,33560,16699,"sellToSystem(scrap-metal, 1950)",7354.46,1970.15,5384.31,3
Бот 1,6,1,46275,17099,"sellToSystem(iron-ore, 4000)",9994.71,1960.30,8034.41,4
Бот 1,6,2,46275,17099,"sellToSystem(wire-rod, 750)",9994.71,1960.30,8034.41,4
Бот 1,6,3,46275,17099,"sellToSystem(scrap-metal, 450)",9994.71,1960.30,8034.41,4
Бот 1,6,4,46275,17099,takeLoan(1000),9994.71,1960.30,8034.41,4
Бот 1,6,5,46275,17099,buildFactory(coal-mine),9994.71,1960.30,8034.41,4
Бот 1,7,1,45118,17467,"setWorkerCount(01M0DNJHF2NJS5WXKJXQF9PVV2, 5)",14903.18,2950.50,11952.68,5
Бот 1,7,2,45118,17467,"sellToSystem(iron-ore, 4000)",14903.18,2950.50,11952.68,5
Бот 1,7,3,45118,17467,"sellToSystem(wire-rod, 750)",14903.18,2950.50,11952.68,5
Бот 1,7,4,45118,17467,"sellToSystem(scrap-metal, 450)",14903.18,2950.50,11952.68,5
Бот 1,7,5,45118,17467,"buildFactory(coking-plant, recipe=coke-from-coal)",14903.18,2950.50,11952.68,5
Бот 1,8,1,46461,18063,"setWorkerCount(01M0DNKXH6AAYXGE9PTP45B4E4, 5)",18846.26,2935.75,15910.51,5
Бот 1,8,2,46461,18063,"sellToSystem(iron-ore, 4000)",18846.26,2935.75,15910.51,5
Бот 1,8,3,46461,18063,"sellToSystem(wire-rod, 750)",18846.26,2935.75,15910.51,5
Бот 1,8,4,46461,18063,"sellToSystem(scrap-metal, 450)",18846.26,2935.75,15910.51,5
Бот 1,9,1,97341,18317,"sellToSystem(iron-ore, 4000)",21251.25,2921.07,18330.18,6
Бот 1,9,2,97341,18317,"sellToSystem(wire-rod, 750)",21251.25,2921.07,18330.18,6
Бот 1,9,3,97341,18317,"sellToSystem(scrap-metal, 450)",21251.25,2921.07,18330.18,6
Бот 1,9,4,97341,18317,"sellToSystem(coking-coal, 3000)",21251.25,2921.07,18330.18,6
Бот 1,9,5,97341,18317,"sellToSystem(coke, 1400)",21251.25,2921.07,18330.18,6
Бот 1,9,6,97341,18317,takeLoan(1000),21251.25,2921.07,18330.18,6
Бот 1,9,7,97341,18317,buildFactory(limestone-quarry),21251.25,2921.07,18330.18,6
Бот 1,10,1,108738,18795,"sellToSystem(iron-ore, 4000)",32245.00,3906.46,28338.54,6
Бот 1,10,2,108738,18795,"sellToSystem(coking-coal, 3000)",32245.00,3906.46,28338.54,6
Бот 1,10,3,108738,18795,"sellToSystem(coke, 1400)",32245.00,3906.46,28338.54,6
Бот 1,10,4,108738,18795,"sellToSystem(wire-rod, 750)",32245.00,3906.46,28338.54,6
Бот 1,10,5,108738,18795,"sellToSystem(scrap-metal, 422)",32245.00,3906.46,28338.54,6
Бот 1,10,6,108738,18795,"setWorkerCount(01M0DNR9Z6KSWWB97GNCYWGEM5, 5)",32245.00,3906.46,28338.54,6
Бот 1,10,7,108738,18795,setGenerationResearchCommitment(1575),32245.00,3906.46,28338.54,6
Бот 1,11,1,93955,19668,"sellToSystem(iron-ore, 4000)",37667.66,3886.93,33780.73,7
Бот 1,11,2,93955,19668,"sellToSystem(coke, 1400)",37667.66,3886.93,33780.73,7
Бот 1,11,3,93955,19668,"sellToSystem(coking-coal, 3000)",37667.66,3886.93,33780.73,7
Бот 1,11,4,93955,19668,"sellToSystem(wire-rod, 750)",37667.66,3886.93,33780.73,7
Бот 1,11,5,93955,19668,"sellToSystem(scrap-metal, 388)",37667.66,3886.93,33780.73,7
Бот 1,11,6,93955,19668,"sellToSystem(limestone, 2500)",37667.66,3886.93,33780.73,7
Бот 1,11,7,93955,19668,takeLoan(500),37667.66,3886.93,33780.73,7
Бот 1,11,8,93955,19668,buildFactory(blast-furnace),37667.66,3886.93,33780.73,7
Бот 1,12,1,76308,20635,"setWorkerCount(01M0DNYFXVX8SCJ4CG4GX7XTHY, 5)",52726.18,4367.49,48358.69,7
Бот 1,12,2,76308,20635,"sellToSystem(iron-ore, 4000)",52726.18,4367.49,48358.69,7
Бот 1,12,3,76308,20635,"sellToSystem(coke, 1400)",52726.18,4367.49,48358.69,7
Бот 1,12,4,76308,20635,"sellToSystem(coking-coal, 2625)",52726.18,4367.49,48358.69,7
