bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,6809,14543,(skipped: takeLoan() — TakeLoan requires amount.),-1200.00,0.00,-1200.00,1
Бот 1,1,2,6809,14543,buildFactory(iron-mine),-1200.00,0.00,-1200.00,1
Бот 2,1,1,6089,15079,takeLoan(1200.00),-1200.00,0.00,-1200.00,1
Бот 2,1,2,6089,15079,buildFactory(oil-well),-1200.00,0.00,-1200.00,1
Бот 1,2,1,8914,15092,takeLoan(2000),0.00,1224.00,-1224.00,1
Бот 1,2,2,8914,15092,"setWorkerCount(01M0ESYZZ6M070YEPPVSKZ2R1V, 10)",0.00,1224.00,-1224.00,1
Бот 2,2,1,8979,15579,(skipped: takeLoan() — TakeLoan requires amount.),0.00,1224.00,-1224.00,1
Бот 2,2,2,8979,15579,"setWorkerCount(01M0ESZ5XQY268NED5QWPVXT2Q, 1)",0.00,1224.00,-1224.00,1
Бот 1,3,1,7411,15237,"sellToSystem(iron-ore, 98120)",0.00,3832.21,-3832.21,1
Бот 2,3,1,12244,15737,"sellToSystem(oil, 26600)",-2200.00,1906.81,-4106.81,2
Бот 2,3,2,12244,15737,repayLoan(1906.81),-2200.00,1906.81,-4106.81,2
Бот 2,3,3,12244,15737,buildFactory(carbon-black-plant),-2200.00,1906.81,-4106.81,2
Бот 1,4,1,13781,15301,buildFactory(mini-mill),36409.22,3813.05,32596.16,2
Бот 1,4,2,13781,15301,repayLoan(2000.00),36409.22,3813.05,32596.16,2
Бот 2,4,1,11542,16129,"setWorkerCount(01M0ET0AMP1VBTCSPGWJ63XVDC, 1)",5587.50,0.00,5587.50,3
Бот 2,4,2,11542,16129,buildFactory(gas-processing-plant),5587.50,0.00,5587.50,3
Бот 1,5,1,10504,15640,"setWorkerCount(01M0ET0R3Y6JAK76WBY707GT2Y, 10)",22161.45,1793.99,20367.46,2
Бот 1,5,2,10504,15640,"sellToSystem(iron-ore, 4000)",22161.45,1793.99,20367.46,2
Бот 2,5,1,8011,16602,"setWorkerCount(01M0ET13CP9WC50HJ02HKVRKKZ, 1)",2236.78,0.00,2236.78,3
Бот 2,5,2,8011,16602,"sellToSystem(carbon-black, 1600.0)",2236.78,0.00,2236.78,3
Бот 1,6,1,10312,16015,"sellToSystem(wire-rod, 900)",3733.68,1785.02,1948.66,2
Бот 2,6,1,11983,16999,"sellToSystem(oil, 71634.0)",1199.18,0.00,1199.18,3
Бот 2,6,2,11983,16999,"sellToSystem(carbon-black, 472.0)",1199.18,0.00,1199.18,3
Бот 1,7,1,6638,16048,takeLoan(100000.00),0.00,25631.24,-25631.24,2
Бот 2,7,1,19785,17080,"sellToSystem(oil, 4000)",27982.98,0.00,27982.98,5
Бот 2,7,2,19785,17080,"sellToSystem(carbon-black, 1600)",27982.98,0.00,27982.98,5
Бот 2,7,3,19785,17080,buildFactory(petrochemical-plant),27982.98,0.00,27982.98,5
Бот 2,7,4,19785,17080,buildFactory(gas-processing-plant),27982.98,0.00,27982.98,5
Бот 1,8,1,11210,16143,"sellToSystem(iron-ore, 477600)",56735.32,125503.09,-68767.77,2
Бот 1,8,2,11210,16143,"sellToSystem(wire-rod, 3600)",56735.32,125503.09,-68767.77,2
Бот 1,8,3,11210,16143,repayLoan(20000.00),56735.32,125503.09,-68767.77,2
Бот 2,8,1,12839,17823,"setWorkerCount(01M0ET3532ER3THVWW1TEGK8G9, 1)",33434.78,0.00,33434.78,5
Бот 2,8,2,12839,17823,"setWorkerCount(01M0ET3533H74GZZ8JAF7FGSHK, 1)",33434.78,0.00,33434.78,5
Бот 2,8,3,12839,17823,"sellToSystem(oil, 36000.0)",33434.78,0.00,33434.78,5
Бот 2,8,4,12839,17823,"sellToSystem(carbon-black, 1500.0)",33434.78,0.00,33434.78,5
Бот 1,9,1,8073,16251,"sellToSystem(iron-ore, 4000)",223122.10,104875.57,118246.53,2
Бот 1,9,2,8073,16251,"sellToSystem(wire-rod, 900)",223122.10,104875.57,118246.53,2
Бот 2,9,1,14532,18200,buildFactory(refinery),50534.24,0.00,50534.24,6
Бот 1,10,1,6672,16377,"sellToSystem(iron-ore, 184866.32)",207960.23,104351.19,103609.04,2
Бот 1,10,2,6672,16377,"sellToSystem(wire-rod, 2100)",207960.23,104351.19,103609.04,2
Бот 2,10,1,12000,18540,"setWorkerCount(01M0ET4JP0QPJC05DMJPHBB855, 1)",46759.65,0.00,46759.65,6
Бот 2,10,2,12000,18540,"sellToSystem(oil, 4000.0)",46759.65,0.00,46759.65,6
Бот 1,11,1,9187,16622,"sellToSystem(iron-ore, 91980.16)",276687.07,103829.44,172857.64,2
Бот 1,11,2,9187,16622,"sellToSystem(wire-rod, 1500)",276687.07,103829.44,172857.64,2
Бот 1,11,3,9187,16622,repayLoan(20000.0),276687.07,103829.44,172857.64,2
