bot,turn,action_index,response_time_ms,request_size_bytes,command,balance,debt,net_worth,factory_count
Бот 1,1,1,23213,11233,takeLoan(1000.0),-350.00,0.00,-350.00,1
Бот 1,1,2,23213,11233,buildFactory(scrap-yard),-350.00,0.00,-350.00,1
Бот 2,1,1,29084,11244,takeLoan(2000.0),-850.00,0.00,-850.00,2
Бот 2,1,2,29084,11244,buildFactory(scrap-yard),-850.00,0.00,-850.00,2
Бот 2,1,3,29084,11244,buildFactory(iron-mine),-850.00,0.00,-850.00,2
Бот 3,1,1,32268,11233,takeLoan(1500.00),-830.00,0.00,-830.00,2
Бот 3,1,2,32268,11233,buildFactory(scrap-yard),-830.00,0.00,-830.00,2
Бот 3,1,3,32268,11233,buildFactory(coal-mine),-830.00,0.00,-830.00,2
Бот 1,2,1,20141,11580,"setWorkerCount(01M05YVSP8KE07TXCB6ZCHMPGS, 3)",644.00,1000.00,-356.00,1
Бот 2,2,1,29593,11810,"setWorkerCount(01M05YWP3JB3WZ588PSZ1FG7Y5, 5)",1134.00,2000.00,-866.00,2
Бот 2,2,2,29593,11810,"setWorkerCount(01M05YWP3KXQCZMTM7069M4JMP, 5)",1134.00,2000.00,-866.00,2
Бот 3,2,1,44198,11809,"setWorkerCount(01M05YXNM0D3HW62P9TKK8RV6V, 5)",154.00,1500.00,-1346.00,3
Бот 3,2,2,44198,11809,"setWorkerCount(01M05YXNM075A9T5XZVXM028EH, 5)",154.00,1500.00,-1346.00,3
Бот 3,2,3,44198,11809,buildFactory(iron-mine),154.00,1500.00,-1346.00,3
Бот 3,2,4,44198,11809,takeLoan(500.00),154.00,1500.00,-1346.00,3
Бот 1,3,1,15199,11728,"sellToSystem(scrap-metal, 1170)",436.60,995.00,-558.40,1
Бот 2,3,1,36187,12122,"sellToSystem(iron-ore, 2000)",-768.40,1990.00,-2758.40,3
Бот 2,3,2,36187,12122,"sellToSystem(scrap-metal, 1000)",-768.40,1990.00,-2758.40,3
Бот 2,3,3,36187,12122,"buildFactory(mini-mill, recipe=wire-rod-from-scrap)",-768.40,1990.00,-2758.40,3
Бот 3,3,1,30511,12415,"setWorkerCount(01M05Z0HC7QSZPX68YVDCGPDCZ, 5)",-900.00,2096.15,-2996.15,4
Бот 3,3,2,30511,12415,buildFactory(coking-plant),-900.00,2096.15,-2996.15,4
Бот 3,3,3,30511,12415,takeLoan(1000.0),-900.00,2096.15,-2996.15,4
Бот 1,4,1,15289,11818,buildFactory(mini-mill),148.28,990.03,-841.75,2
Бот 2,4,1,45185,12561,"setWorkerCount(01M05Z23JCX01D75XYADCEVBMD, 5)",735.42,1980.05,-1244.63,3
Бот 2,4,2,45185,12561,"setRndCommitment(01M05Z23JCX01D75XYADCEVBMD, 50)",735.42,1980.05,-1244.63,3
Бот 2,4,3,45185,12561,setGenerationResearchCommitment(100),735.42,1980.05,-1244.63,3
Бот 2,4,4,45185,12561,"sellToSystem(iron-ore, 5000)",735.42,1980.05,-1244.63,3
Бот 3,4,1,48431,12882,"setWorkerCount(01M05Z31C01TJHZP75JCCVSAVA, 5)",-1100.00,4568.42,-5668.42,5
Бот 3,4,2,48431,12882,takeLoan(1100.0),-1100.00,4568.42,-5668.42,5
Бот 3,4,3,48431,12882,buildFactory(mini-mill),-1100.00,4568.42,-5668.42,5
Бот 3,4,4,48431,12882,"sellToSystem(coking-coal, 10000)",-1100.00,4568.42,-5668.42,5
Бот 3,4,5,48431,12882,"sellToSystem(iron-ore, 8000)",-1100.00,4568.42,-5668.42,5
Бот 1,5,1,16492,12069,"setWorkerCount(01M05Z3GA1FWPKCTMWRRAZMWBK, 3)",2.04,985.07,-983.04,2
Бот 2,5,1,50389,12925,"sellToSystem(iron-ore, 10000)",2297.46,1970.15,327.31,4
Бот 2,5,2,50389,12925,"sellToSystem(scrap-metal, 1000)",2297.46,1970.15,327.31,4
Бот 2,5,3,50389,12925,"buildFactory(coal-mine, recipe=coking-coal-mining)",2297.46,1970.15,327.31,4
Бот 2,5,4,50389,12925,"setRndCommitment(01M05Z23JCX01D75XYADCEVBMD, 100)",2297.46,1970.15,327.31,4
Бот 2,5,5,50389,12925,setGenerationResearchCommitment(150),2297.46,1970.15,327.31,4
Бот 3,5,1,32609,13436,"setWorkerCount(01M05Z6BQKCJCQ2SQ21A6CAQKC, 5)",7635.56,5645.58,1989.98,6
Бот 3,5,2,32609,13436,takeLoan(1500),7635.56,5645.58,1989.98,6
Бот 3,5,3,32609,13436,buildFactory(limestone-quarry),7635.56,5645.58,1989.98,6
Бот 1,6,1,23188,12324,"sellToSystem(wire-rod, 450)",0.00,1415.27,-1415.27,2
Бот 1,6,2,23188,12324,"sellToSystem(scrap-metal, 1000)",0.00,1415.27,-1415.27,2
Бот 2,6,1,55009,13640,"setWorkerCount(01M05Z8D1V5GYZJ9W2ZDA2GBCN, 5)",6432.71,1960.30,4472.41,5
Бот 2,6,2,55009,13640,"sellToSystem(wire-rod, 1500)",6432.71,1960.30,4472.41,5
Бот 2,6,3,55009,13640,"sellToSystem(scrap-metal, 2800)",6432.71,1960.30,4472.41,5
Бот 2,6,4,55009,13640,"buildFactory(coking-plant, recipe=coke-from-coal)",6432.71,1960.30,4472.41,5
Бот 2,6,5,55009,13640,"setRndCommitment(01M05Z23JCX01D75XYADCEVBMD, 150)",6432.71,1960.30,4472.41,5
Бот 3,6,1,35281,14075,"setWorkerCount(01M05Z9CWZQQDVYMCKYTS2K280, 5)",5520.13,7117.35,-1597.22,6
Бот 3,6,2,35281,14075,takeLoan(2000.0),5520.13,7117.35,-1597.22,6
Бот 3,6,3,35281,14075,setGenerationResearchCommitment(1575.0),5520.13,7117.35,-1597.22,6
Бот 1,7,1,22628,12468,"sellToSystem(wire-rod, 450)",2162.67,1408.20,754.48,2
Бот 1,7,2,22628,12468,"sellToSystem(scrap-metal, 1000)",2162.67,1408.20,754.48,2
Бот 2,7,1,59086,14307,"setWorkerCount(01M05ZBS8R8SNJ55K57W9HYJXE, 5)",8557.28,1950.50,6606.78,6
Бот 2,7,2,59086,14307,"sellToSystem(scrap-metal, 450)",8557.28,1950.50,6606.78,6
Бот 2,7,3,59086,14307,"buildFactory(limestone-quarry, recipe=limestone-quarrying)",8557.28,1950.50,6606.78,6
Бот 2,7,4,59086,14307,"setRndCommitment(01M05Z23JCX01D75XYADCEVBMD, 200)",8557.28,1950.50,6606.78,6
Бот 2,7,5,59086,14307,setGenerationResearchCommitment(150),8557.28,1950.50,6606.78,6
Бот 3,7,1,49676,14714,takeLoan(2200.0),-1560.05,9081.76,-10641.81,7
Бот 3,7,2,49676,14714,"buildFactory(blast-furnace, recipe=pig-iron-from-ore)",-1560.05,9081.76,-10641.81,7
Бот 3,7,3,49676,14714,"sellToSystem(coking-coal, 5000)",-1560.05,9081.76,-10641.81,7
Бот 3,7,4,49676,14714,"sellToSystem(iron-ore, 10000)",-1560.05,9081.76,-10641.81,7
Бот 3,7,5,49676,14714,"sellToSystem(coke, 5000)",-1560.05,9081.76,-10641.81,7
Бот 1,8,1,22646,12612,"sellToSystem(wire-rod, 450)",4398.83,1401.15,2997.68,2
Бот 1,8,2,22646,12612,"sellToSystem(scrap-metal, 1150)",4398.83,1401.15,2997.68,2
Бот 2,8,1,58085,14970,"setWorkerCount(01M05ZFBH4SH75HFXA46PAK8HA, 5)",4575.56,1940.75,2634.82,6
Бот 2,8,2,58085,14970,"sellToSystem(wire-rod, 1500)",4575.56,1940.75,2634.82,6
Бот 2,8,3,58085,14970,"sellToSystem(iron-ore, 10000)",4575.56,1940.75,2634.82,6
Бот 2,8,4,58085,14970,"setRndCommitment(01M05Z23JCX01D75XYADCEVBMD, 200)",4575.56,1940.75,2634.82,6
Бот 2,8,5,58085,14970,setGenerationResearchCommitment(150),4575.56,1940.75,2634.82,6
Бот 3,8,1,47901,15789,"setWorkerCount(01M05ZGW1HHRE27P4ABD79678C, 5)",10207.72,11236.35,-1028.63,8
Бот 3,8,2,47901,15789,takeLoan(3200),10207.72,11236.35,-1028.63,8
Бот 3,8,3,47901,15789,buildFactory(foundry-cupola),10207.72,11236.35,-1028.63,8
Бот 3,8,4,47901,15789,"sellToSystem(wire-rod, 2250)",10207.72,11236.35,-1028.63,8
Бот 1,9,1,22071,12752,"sellToSystem(wire-rod, 450)",6828.47,1394.15,5434.33,2
Бот 1,9,2,22071,12752,"sellToSystem(scrap-metal, 270)",6828.47,1394.15,5434.33,2
