=== 2) ideal-hall (X(t)) ===
Секторов в цепочке: 1 [sector1 (Сектор 1)], команд на сектор: 2.
Идеальный зал: 20 ходов (MaxTurns пресета — публично известная верхняя граница, не тайный EndTurn).

Ход        sector1
   1             90
   2            430
   3            770
   4          1,110
   5          1,450
   6          1,840
   7          2,230
   8          2,620
   9          3,010
  10          3,400
  11          4,117
  12          5,161
  13          6,533
  14          8,235
  15         10,268
  16         12,832
  17         15,753
  18         19,033
  19         22,673
  20         26,673

JSON-отчёт записан: /Users/yafarkin/Documents/dev/im_prod/docs/rebalance-2sector/reports/step0-ideal-hall.json
