=== 2) ideal-hall ===
Секторов в цепочке: 1 [sector1 (Сектор 1)], команд на сектор: 2.
Идеальный зал: 20 ходов (MaxTurns пресета — публично известная верхняя граница, не тайный EndTurn).

Ход        sector1
   1          5,060
   2         11,120
   3         17,180
   4         23,240
   5         29,400
   6         36,040
   7         42,710
   8         49,380
   9         56,050
  10         62,720
  11         69,662
  12         76,878
  13         84,370
  14         92,140
  15        100,190
  16        108,898
  17        118,129
  18        127,661
  19        137,496
  20        147,636

JSON-отчёт записан: /Users/yafarkin/Documents/dev/im_prod/docs/rebalance-2sector/reports/step1-ideal-hall.json
